Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Website,Founded Date,Founded Date Precision,Industry Groups,Number of Employees,Stock Symbol,Stock Symbol URL,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Aberdeen - Software Spend,Aberdeen - Software Spend Currency,Aberdeen - Software Spend Currency (in USD),Aberdeen - Communications Spend,Aberdeen - Communications Spend Currency,Aberdeen - Communications Spend Currency (in USD),Number of Acquisitions,Acquisition Status,IPqwery - IP Activity Score,G2 Stack - Total Products Active,G2 Stack - Total Product Changes,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,BuiltWith - Tech Changes (%),BuiltWith - Active Tech Count,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Estimated Revenue Range,Operating Status,Last Layoff Mention Date,Aberdeen - Services Spend,Aberdeen - Services Spend Currency,Aberdeen - Services Spend Currency (in USD),Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Zume,https://www.crunchbase.com/organization/zume-inc,"Consumer, Food and Beverage, Food Delivery, Manufacturing","Camarillo, California, United States",Zume is a manufacturing technology company focused on food packaging with economically viable substitutes for plastic packaging.,http://www.zume.com/,2015-06-01,month,"Food and Beverage, Manufacturing, Other, Transportation",101-250,,,0.2,2.6,7,,,,,,,,,,1,Made Acquisitions,2.6,21,5%,,,0%,4,"34,205","11,329",729.61%,"832,679","-2,194,031",-72.49%,"Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,2020-01-08,,,,8,,2019-10-24,,,,Venture - Series Unknown,423000000,USD,423000000
Snap,https://www.crunchbase.com/organization/snapchat,"Apps, Messaging, Mobile, Social Media","Venice, California, United States",Snap operates as a privately-owned multinational camera company focusing on multinational technology and social media.,https://www.snap.com,2011-05-01,day,"Apps, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software",5001-10000,SNAP,https://www.crunchbase.com/ipo/snapchat-ipo--e4b1e502,1.2,-1.2,-1.7,,,,,,,,,,26,Made Acquisitions,0.4,24,0%,0,,0%,46,"6,291,101","5,260,943.17",-1.47%,"15,144",661,4.56%,"Greater Los Angeles Area, West Coast, Western US",$100M to $500M,Active,2022-08-31,,,,14,IPO,2018-08-07,250000000,USD,250000000,Post-IPO Equity,4903527880,USD,4903527880
Zilingo,https://www.crunchbase.com/organization/zilingo,"E-Commerce, Internet, Mobile","Singapore, Central Region, Singapore",Zilingo is a commerce platform that is making the fashion and beauty supply chain more efficient through technology.,https://zilingo.com,2015-01-01,year,"Commerce and Shopping, Internet Services, Mobile",251-500,,,7.8,9.7,9.5,,,,,,,,,,1,Made Acquisitions,1.5,18,0%,6,"8,757",0%,36,"6,374","13,855.67",-62.21%,"2,364,275","1,062,048",81.56%,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,Active,2022-07-20,,,,7,,2021-07-01,40000000,USD,40000000,Debt Financing,347880000,USD,347880000
Google,https://www.crunchbase.com/organization/google,"Advertising, Collaboration, Enterprise Software, Information Technology, Search Engine","Mountain View, California, United States",Google is a multinational corporation that specializes in Internet-related services and products.,https://www.google.com,1998-01-01,year,"Advertising, Information Technology, Internet Services, Other, Sales and Marketing, Software",10001+,GOOG,https://www.crunchbase.com/ipo/google-ipo--bee91e2e,-0.5,-1.4,-0.2,,,,,,,,,,258,Made Acquisitions,4.7,220,0.46%,34,,0%,3,"92,859,023,815","85,379,710,318.5",0.94%,1,0,0%,"San Francisco Bay Area, Silicon Valley, West Coast",$10B+,Active,2023-01-20,,,,3,IPO,1999-06-07,25000000,USD,25000000,Series A,26100000,USD,26100000
Wayfair,https://www.crunchbase.com/organization/wayfair,"E-Commerce, Furniture, Home Decor, Retail","Boston, Massachusetts, United States","Wayfair is an online retailer of home products for bedroom, living room, kitchen and dining, home entertainment, bathroom, and more.",https://www.wayfair.com,2002-08-01,day,"Commerce and Shopping, Consumer Goods, Real Estate",5001-10000,W,https://www.crunchbase.com/ipo/wayfair-ipo--53404619,-0.2,6.3,7.5,251693361,USD,251693361,33383799,USD,33383799,7679985,USD,7679985,4,Made Acquisitions,2.9,46,0%,15,"720,059",0%,87,"57,503,018","68,772,973",-15.15%,"1,710",272,18.92%,"Greater Boston Area, East Coast, New England",$1B to $10B,Active,2023-01-19,122327380,USD,122327380,4,IPO,2020-08-12,1320000000,USD,1320000000,Post-IPO Debt,1678000000,USD,1678000000
Verily,https://www.crunchbase.com/organization/verily-2,"Analytics, Enterprise Software, Health Care, Information Technology","South San Francisco, California, United States",Verily develops tools and devices to collect and analyze health data to research and manage diseases.,https://verily.com,2015-01-01,year,"Data and Analytics, Health Care, Information Technology, Software",1001-5000,,,-0.3,9.2,0,701485,USD,701485,169183,USD,169183,35739,USD,35739,2,Made Acquisitions,3.4,15,0%,30,427,0%,37,"45,405","107,914.5",-18.83%,"695,433","131,980",23.42%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2023-01-11,267644,USD,267644,5,,2022-09-28,,,,Secondary Market,3500000000,USD,3500000000
Qualtrics,https://www.crunchbase.com/organization/qualtrics,"Consumer, Data Integration, Market Research, SaaS","Provo, Utah, United States","Qualtrics is a single system of record for all experience data, managing customer, product, employee, and brand experiences on one platform.",http://www.qualtrics.com,2002-01-01,year,"Data and Analytics, Design, Information Technology, Other, Software",1001-5000,XM,https://www.crunchbase.com/ipo/qualtrics-ipo--acc56fba,5.9,9.4,6.2,109993603,USD,109993603,34935277,USD,34935277,8572793,USD,8572793,5,"Made Acquisitions, Was Acquired",2.6,104,0.97%,16,"2,871",0%,22,"95,543,425","66,977,688",-17.95%,971,184,23.38%,Western US,$500M to $1B,Active,2023-01-11,29897304,USD,29897304,3,M&A,2017-04-12,180000000,USD,180000000,Series C,400000000,USD,400000000
Tripadvisor,https://www.crunchbase.com/organization/tripadvisor,"E-Commerce, Hospitality, Hotel, Information Services, Internet, Restaurants, Social Media, Travel, Vacation Rental","Needham, Massachusetts, United States",Tripadvisor is the largest travel guidance platform.,https://www.tripadvisor.com/,2000-02-01,day,"Commerce and Shopping, Food and Beverage, Information Technology, Internet Services, Media and Entertainment, Real Estate, Travel and Tourism",1001-5000,TRIP,https://www.crunchbase.com/ipo/tripadvisor-ipo--dd98d191,0,1.8,0.6,15945,USD,15945,3845,USD,3845,812,USD,812,30,"Made Acquisitions, Was Acquired",2.1,64,0%,97,"555,398",0%,117,"115,475,207","172,807,237",-2.58%,802,34,4.43%,"Greater Boston Area, East Coast, New England",$100M to $500M,Active,2021-03-10,6084,USD,6084,4,M&A,2021-03-22,300000000,USD,300000000,Post-IPO Equity,303300000,USD,303300000
CarDekho,https://www.crunchbase.com/organization/cardekho,"Automotive, E-Commerce, Information Services, Information Technology, Software","Gurgaon, Haryana, India",CarDekho is a car search platform working to digitize the auto ecosystem.,http://www.cardekho.com,2008-01-01,year,"Commerce and Shopping, Information Technology, Software, Transportation",501-1000,,,-0.6,8.4,9.7,,,,,,,,,,2,Made Acquisitions,,27,0%,0,,0%,62,"21,170,250","19,934,952.17",-0.65%,"4,917",255,5.47%,Asia-Pacific (APAC),,Active,2020-05-25,,,,9,Late Stage Venture,2021-10-13,200000000,USD,200000000,Series E,497500000,USD,497500000
Vesta,https://www.crunchbase.com/organization/vesta-corporation,"Financial Services, Fraud Detection, Payments, Software, Transaction Processing","Lake Oswego, Oregon, United States","Vesta is a transaction guarantee platform for digital purchases, eliminating all the costs associated with fraud.",https://www.vesta.io,1995-01-01,year,"Financial Services, Payments, Privacy and Security, Software",251-500,,,-1,9.2,9.1,,,,,,,,,,,,,20,0%,,,0%,49,"39,456","18,083.67",446.03%,"759,131","-1,418,138",-65.13%,"West Coast, Western US",$100M to $500M,Active,,,,,4,,2023-01-04,25000000,USD,25000000,Debt Financing,170000000,USD,170000000
Career Karma,https://www.crunchbase.com/organization/career-karma,"Career Planning, Social Network, Training","San Francisco, California, United States",Career Karma helps people find career advice and job training to navigate their careers.,https://careerkarma.com,2018-04-01,month,"Education, Internet Services, Professional Services",101-250,,,-0.3,7.2,7.6,,,,,,,,,,,,,34,-2.86%,,,0%,33,"1,708,142","2,355,337.5",-32.77%,"45,678","13,964",44.03%,"San Francisco Bay Area, West Coast, Western US",,Active,2023-01-12,,,,4,Early Stage Venture,2022-01-10,40000000,USD,40000000,Series B,51937500,USD,51937500
Unity,https://www.crunchbase.com/organization/unity-technologies,"Augmented Reality, Developer Platform, Mobile Apps, Virtual Reality","San Francisco, California, United States",Unity provides multiplatform tools and services to developers of interactive content.,https://unity.com/,2004-08-02,day,"Apps, Hardware, Mobile, Software",5001-10000,U,https://www.crunchbase.com/ipo/unity-technologies-ipo--c6107e7a,0.6,0.5,-0.6,,,,,,,,,,26,Made Acquisitions,,62,0%,31,97,0%,110,"21,021,402","24,405,305.5",-5.84%,"4,946",519,11.72%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2023-01-17,,,,11,IPO,2021-02-03,,,,Secondary Market,1251300000,USD,1251300000
Dropbox,https://www.crunchbase.com/organization/dropbox,"Collaboration, Enterprise Software, File Sharing, Private Cloud, Web Hosting","San Francisco, California, United States","Dropbox is a smart workspace company that provides secure file sharing, collaboration, and storage solutions.",http://www.dropbox.com,2007-06-01,day,"Hardware, Information Technology, Internet Services, Other, Software",1001-5000,DBX,https://www.crunchbase.com/ipo/dropbox-ipo--8e917063,-2.2,-3.3,5,275717998,USD,275717998,87571317,USD,87571317,21489189,USD,21489189,29,Made Acquisitions,3.3,81,1.25%,12,"1,780,994",0%,106,"183,610,864","209,594,776.33",-5.28%,463,58,14.32%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2021-01-26,74942766,USD,74942766,11,IPO,2017-03-30,600000000,USD,600000000,Debt Financing,1707215000,USD,1707215000
Riot Games,https://www.crunchbase.com/organization/riot-games,"Computer, Developer Platform, PC Games, Video Games","Los Angeles, California, United States",Riot Games is a global company that develops online games.,http://www.riotgames.com,2006-01-01,year,"Consumer Electronics, Gaming, Hardware, Software",1001-5000,,,1,4.9,0.7,,,,,,,,,,4,"Made Acquisitions, Was Acquired",2.9,50,0%,1,,0%,114,"98,853,870","96,103,259.5",2.49%,934,-32,-3.31%,"Greater Los Angeles Area, West Coast, Western US",$10B+,Active,2023-01-19,,,,5,M&A,2018-12-31,6000000,USD,6000000,Venture - Series Unknown,21000000,USD,21000000
Stitch Fix,https://www.crunchbase.com/organization/stitch-fix,"E-Commerce, Fashion, Retail","San Francisco, California, United States",Stitch Fix is a personal styling platform that delivers curated and personalized apparel and accessory items for women.,http://stitchfix.com,2011-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design",1001-5000,SFIX,https://www.crunchbase.com/ipo/stitch-fix-ipo--423577f7,-0.8,7.1,7.1,30457906,USD,30457906,4039839,USD,4039839,929370,USD,929370,1,Made Acquisitions,2.4,61,0%,1,,0%,57,"3,804,450","7,008,837.17",-9.86%,"23,513","2,738",13.18%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2023-01-05,14803076,USD,14803076,5,IPO,2017-11-09,36850773,USD,36850773,Venture - Series Unknown,79350773,USD,79350773
Roku,https://www.crunchbase.com/organization/roku,"Advertising Platforms, Consumer Electronics, Digital Entertainment, Hardware, Software","Los Gatos, California, United States",Roku develops video streaming devices that provide users access to Internet-streamed video or audio services.,https://www.roku.com,2002-10-01,day,"Advertising, Consumer Electronics, Hardware, Media and Entertainment, Software",1001-5000,ROKU,https://www.crunchbase.com/ipo/roku-ipo--52c1a3a3,-0.9,0.4,-0.3,201473304,USD,201473304,63990320,USD,63990320,15702631,USD,15702631,5,Made Acquisitions,3.3,43,-15.69%,3,,0%,69,"47,538,303","41,536,195.83",-0.59%,"2,065",32,1.57%,"San Francisco Bay Area, Silicon Valley, West Coast",$500M to $1B,Active,2022-11-17,54762355,USD,54762355,11,IPO,2015-11-09,45500000,USD,45500000,Series H,208609000,USD,208609000
BuzzFeed,https://www.crunchbase.com/organization/buzzfeed,"Advertising, Digital Entertainment, Journalism, Publishing, Social News","New York, New York, United States",BuzzFeed is a cross-platform digital media company delivering news and entertainment content to a global audience.,https://www.buzzfeed.com,2006-11-01,month,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing",1001-5000,BZFD,https://www.crunchbase.com/ipo/buzzfeed-ipo--1568dd0b,8.4,5.8,9,3539536,USD,3539536,588251,USD,588251,124264,USD,124264,7,Made Acquisitions,2.3,97,0%,20,"338,431",0%,95,"115,429,616","146,937,349.5",5.23%,806,-33,-3.93%,"Greater New York Area, East Coast, Northeastern US",$100M to $500M,Active,2022-12-06,930603,USD,930603,10,IPO,2021-12-03,150000000,USD,150000000,Post-IPO Debt,696300000,USD,696300000
Glassdoor,https://www.crunchbase.com/organization/glassdoor,"Career Planning, Digital Media, Employment, Recruiting, Social Media","Mill Valley, California, United States",Glassdoor is a job and recruiting sites that operates online jobs and career community.,http://glassdoor.com,2007-06-01,month,"Internet Services, Media and Entertainment, Professional Services",501-1000,,,-0.3,8.9,8.8,,,,,,,,,,2,"Made Acquisitions, Was Acquired",0.9,124,0%,9,,0%,92,"45,577,384","65,955,838.83",-10.33%,"2,155",237,12.36%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2020-05-07,,,,10,M&A,2017-01-26,,,,Secondary Market,204500000,USD,204500000
Asana,https://www.crunchbase.com/organization/asana,"Collaboration, Enterprise Software, Software, Task Management","San Francisco, California, United States",Asana is a computer software company that specializes in the fields of work management and productivity.,https://asana.com/,2008-01-01,year,"Other, Software",1001-5000,ASAN,https://www.crunchbase.com/ipo/asana-ipo--cca13303,-1.6,-2.2,-0.6,17515155,USD,17515155,2910918,USD,2910918,614911,USD,614911,,,1.6,77,1.32%,1,"229,832",0%,116,"26,030,099","27,701,852",-16.57%,"3,925",772,24.48%,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2022-11-15,4605023,USD,4605023,13,IPO,2020-08-15,,,,Undisclosed,453200000,USD,453200000
Coinbase,https://www.crunchbase.com/organization/coinbase,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform","San Francisco, California, United States","Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency.",http://www.coinbase.com,2012-01-01,year,"Financial Services, Lending and Investments, Other, Payments, Software",1001-5000,COIN,https://www.crunchbase.com/ipo/coinbase-ipo--a6526f6c,-0.6,-0.3,-0.2,,,,,,,,,,22,Made Acquisitions,2.7,50,0%,1,,0%,67,"48,213,511","72,427,701.33",-19.97%,"2,036",404,24.75%,"San Francisco Bay Area, West Coast, Western US",$1B to $10B,Active,2023-01-10,,,,17,IPO,2022-11-09,21400000,USD,21400000,Post-IPO Equity,573684825,USD,573684825
Lime,https://www.crunchbase.com/organization/limebike,"Last Mile Transportation, Mobile Apps, Ride Sharing, Transportation","San Francisco, California, United States",Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint.,https://www.li.me/,2017-01-01,month,"Apps, Mobile, Software, Transportation",501-1000,,,1.1,1.9,-0.4,290344,USD,290344,48253,USD,48253,10193,USD,10193,2,Made Acquisitions,2.6,30,3.45%,3,"662,003",0%,61,"474,779","1,089,100.33",-35.57%,"123,729","38,187",44.64%,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,2020-04-30,76336,USD,76336,14,Late Stage Venture,2021-11-04,418000000,USD,418000000,Convertible Note,1458000000,USD,1458000000
CARS24,https://www.crunchbase.com/organization/cars24,"Artificial Intelligence, Automotive, E-Commerce, Electrical Distribution, Marketplace","Gurgaon, Haryana, India",CARS24 offers a tech-enabled marketplace for buying and selling pre-owned cars.,https://www.cars24.com,2015-01-01,year,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Energy, Science and Engineering, Software, Transportation",1001-5000,,,3.7,5.6,8.4,,,,,,,,,,,,,16,0%,,,0%,68,"4,166,154","3,251,000.33",45.29%,"21,734","-6,946",-24.22%,Asia-Pacific (APAC),$100M to $500M,Active,2022-05-19,,,,16,Late Stage Venture,2021-12-20,22800000000,INR,300954532,Series G,1317730249,USD,1317730249
Stripe,https://www.crunchbase.com/organization/stripe,"Finance, FinTech, Mobile Payments, SaaS","San Francisco, California, United States",Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.,https://stripe.com,2010-01-01,year,"Financial Services, Mobile, Payments, Software",5001-10000,,,4.7,2,0.8,47542633,USD,47542633,7901313,USD,7901313,1669096,USD,1669096,13,Made Acquisitions,2.9,66,0%,3,"146,617",0%,52,"87,018,607","92,222,405.5",-7.18%,"1,086",90,9.04%,"San Francisco Bay Area, West Coast, Western US",$500M to $1B,Active,2022-11-03,12499743,USD,12499743,20,,2021-06-01,,,,Venture - Series Unknown,2235000000,USD,2235000000
Delivery Hero,https://www.crunchbase.com/organization/delivery-hero,"E-Commerce, Food Delivery, Internet, Same Day Delivery","Berlin, Berlin, Germany",Delivery Hero is a network of online food ordering sites with over 100 restaurant partners worldwide.,http://www.deliveryhero.com,2011-01-01,year,"Commerce and Shopping, Food and Beverage, Internet Services, Transportation",10001+,DHER,https://www.crunchbase.com/ipo/delivery-hero-ipo--a4ea478f,-1.3,5.3,6.5,4109033,USD,4109033,4534,USD,4534,1988,USD,1988,28,Made Acquisitions,2.3,66,0%,,,0%,77,"9,183,161","12,831,304.67",-50.25%,"10,823","5,442",101.13%,European Union (EU),$500M to $1B,Active,,9193,USD,9193,21,IPO,2022-04-04,1400000000,EUR,1536514723,Post-IPO Debt,9882351313,USD,9882351313
JUUL,https://www.crunchbase.com/organization/juul,"B2C, Consumer Electronics, Consumer Goods, Leisure, Lifestyle","San Francisco, California, United States",JUUL is a manufacturer and distributor of electronic nicotine vaporizers.,https://www.juul.com,2015-01-01,year,"Community and Lifestyle, Consumer Electronics, Consumer Goods, Hardware, Other",1001-5000,,,2.3,-1,-1.2,,,,,,,,,,1,Made Acquisitions,2.9,32,0%,,,0%,51,"318,648","536,342.83",-19.1%,"166,216","29,270",21.37%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2022-11-10,,,,10,,2022-11-10,,,,Undisclosed,15205232806,USD,15205232806
